"Date","Price","Open","High","Low","Vol.","Change %"
"2021-10-29","147.69","146.47","148.00","146.32","19.09M","0.31%"
"2021-10-28","147.24","147.79","148.33","146.84","17.50M","-0.34%"
"2021-10-27","147.74","146.40","148.18","145.93","22.09M","1.82%"
"2021-10-26","145.10","144.62","145.10","143.74","13.67M","0.83%"
"2021-10-25","143.91","143.67","144.30","143.63","8.14M","-0.15%"
"2021-10-22","144.13","143.45","144.40","143.21","13.74M","1.10%"
"2021-10-21","142.56","143.00","143.15","142.23","13.66M","-0.12%"
"2021-10-20","142.73","143.25","143.68","142.51","12.78M","-0.68%"
"2021-10-19","143.70","144.66","144.73","143.65","12.16M","-1.38%"
"2021-10-18","145.71","145.00","146.00","144.52","12.12M","0.47%"
"2021-10-15","145.03","145.00","145.14","144.47","11.81M","-0.58%"
"2021-10-14","145.88","145.37","145.96","144.95","12.95M","0.37%"
"2021-10-13","145.34","144.61","145.53","144.58","23.58M","0.97%"
"2021-10-12","143.94","142.63","144.01","142.48","17.97M","1.71%"
"2021-10-11","141.52","141.60","141.90","141.45","7.21M","-0.25%"
"2021-10-08","141.88","142.26","142.35","141.52","17.26M","-0.70%"
"2021-10-07","142.88","143.18","143.34","142.59","14.86M","-1.05%"
"2021-10-06","144.39","144.23","144.71","144.02","18.70M","0.56%"
"2021-10-05","143.58","144.60","144.70","143.46","22.66M","-0.97%"
"2021-10-04","144.98","144.67","145.46","144.10","28.03M","-0.25%"
"2021-10-01","145.35","144.85","145.40","144.20","26.15M","0.71%"
"2021-09-30","144.32","144.10","144.51","143.65","22.57M","-0.01%"
"2021-09-29","144.34","144.80","145.43","143.69","23.57M","0.17%"
"2021-09-28","144.09","144.33","145.07","143.64","26.61M","-1.56%"
"2021-09-27","146.37","146.06","146.87","145.88","13.46M","-0.37%"
"2021-09-24","146.91","147.84","147.85","146.74","20.20M","-0.98%"
"2021-09-23","148.36","150.42","150.45","148.34","23.85M","-2.26%"
"2021-09-22","151.79","150.79","151.79","150.44","22.28M","0.60%"
"2021-09-21","150.89","150.71","150.96","150.20","10.04M","-0.09%"
"2021-09-20","151.02","150.57","151.37","150.23","14.66M","1.24%"
"2021-09-17","149.17","149.18","149.36","148.70","13.78M","-0.48%"
"2021-09-16","149.89","149.67","150.45","149.50","13.33M","-0.46%"
"2021-09-15","150.58","151.21","151.25","149.93","11.94M","-0.35%"
"2021-09-14","151.11","149.73","151.57","149.58","19.92M","1.21%"
"2021-09-13","149.30","149.04","149.49","148.95","15.04M","0.61%"
"2021-09-10","148.40","148.90","149.17","148.16","14.89M","-0.88%"
"2021-09-09","149.72","148.17","149.89","147.85","20.32M","1.21%"
"2021-09-08","147.93","147.66","148.19","147.39","14.53M","0.68%"
"2021-09-07","146.93","147.26","147.52","146.65","15.55M","-0.84%"
"2021-09-03","148.18","148.27","148.51","147.94","12.93M","-0.91%"
"2021-09-02","149.54","149.24","149.55","148.75","9.77M","0.44%"
"2021-09-01","148.89","149.27","149.39","148.49","10.81M","0.04%"
"2021-08-31","148.83","149.67","150.09","148.50","15.26M","-0.68%"
"2021-08-30","149.85","148.99","149.90","148.93","10.60M","0.26%"
"2021-08-27","149.46","148.57","149.49","148.33","15.38M","0.68%"
"2021-08-26","148.45","147.96","148.57","147.51","16.66M","0.28%"
"2021-08-25","148.04","149.21","149.37","147.58","16.74M","-0.83%"
"2021-08-24","149.28","149.76","150.07","149.28","13.84M","-0.78%"
"2021-08-23","150.45","150.20","150.49","149.92","10.62M","-0.07%"
"2021-08-20","150.55","150.59","150.81","150.11","12.39M","0.07%"
"2021-08-19","150.45","150.31","150.46","149.81","15.47M","0.74%"
"2021-08-18","149.35","148.71","149.47","148.45","13.14M","0.34%"
"2021-08-17","148.85","148.88","149.47","148.67","14.13M","-0.04%"
"2021-08-16","148.91","149.19","150.02","148.81","19.17M","0.24%"
"2021-08-13","148.55","146.83","148.56","146.81","18.65M","1.58%"
"2021-08-12","146.24","146.09","146.44","145.43","14.71M","-0.16%"
"2021-08-11","146.48","146.41","147.23","145.71","17.23M","-0.06%"
"2021-08-10","146.57","147.49","147.57","146.56","13.72M","-0.46%"
"2021-08-09","147.25","148.15","148.56","147.23","12.94M","-0.36%"
"2021-08-06","147.78","148.32","148.76","147.69","21.14M","-1.67%"
"2021-08-05","150.29","150.76","150.92","150.00","15.35M","-0.51%"
"2021-08-04","151.06","151.50","151.82","149.72","18.27M","0.21%"
